02-01 10:04:44.168 INFO  --- [main] [AbstractTestContextBootstrapper]:308 o.s.b.t.context.SpringBootTestContextBootstrapper >>> Neither @ContextConfiguration nor @ContextHierarchy found for test class [ResourceDaoImplTest], using SpringBootContextLoader
02-01 10:04:59.670 INFO  --- [main] [AuthResourceServerAutoConfiguration]:125 c.g.s.config.AuthResourceServerAutoConfiguration >>> $$------AuthResource------AuthResourceDTO(id=null, scope=role:create, name=创建角色)
02-01 10:04:59.671 INFO  --- [main] [AuthResourceServerAutoConfiguration]:125 c.g.s.config.AuthResourceServerAutoConfiguration >>> $$------AuthResource------AuthResourceDTO(id=null, scope=role:page, name=分页查询角色)
02-01 10:04:59.671 INFO  --- [main] [AuthResourceServerAutoConfiguration]:125 c.g.s.config.AuthResourceServerAutoConfiguration >>> $$------AuthResource------AuthResourceDTO(id=null, scope=client:findByClientId, name=根据clientId查询client)
02-01 10:04:59.672 INFO  --- [main] [AuthResourceServerAutoConfiguration]:125 c.g.s.config.AuthResourceServerAutoConfiguration >>> $$------AuthResource------AuthResourceDTO(id=null, scope=client:create, name=创建客户端)
02-01 10:04:59.673 INFO  --- [main] [AuthResourceServerAutoConfiguration]:125 c.g.s.config.AuthResourceServerAutoConfiguration >>> $$------AuthResource------AuthResourceDTO(id=null, scope=client:bindUser, name=绑定用户到客户端)
02-01 10:04:59.673 INFO  --- [main] [AuthResourceServerAutoConfiguration]:125 c.g.s.config.AuthResourceServerAutoConfiguration >>> $$------AuthResource------AuthResourceDTO(id=null, scope=user:create, name=创建用户)
02-01 10:04:59.674 INFO  --- [main] [AuthResourceServerAutoConfiguration]:125 c.g.s.config.AuthResourceServerAutoConfiguration >>> $$------AuthResource------AuthResourceDTO(id=null, scope=user:setUserRole, name=设置用户角色)
02-01 10:04:59.918 INFO  --- [main] [ResourceServiceImpl]:52 c.g.c.auth.server.service.impl.ResourceServiceImpl >>> receiveReportData:{"authResources":[{"name":"更新角色","scope":"role:update"},{"name":"删除角色","scope":"role:delete"},{"name":"创建角色","scope":"role:create"},{"name":"分页查询角色","scope":"role:page"},{"name":"根据clientId查询client","scope":"client:findByClientId"},{"name":"创建客户端","scope":"client:create"},{"name":"绑定用户到客户端","scope":"client:bindUser"},{"name":"创建用户","scope":"user:create"},{"name":"设置用户角色","scope":"user:setUserRole"}],"clientId":"husen19950528201314lq19980824","resourceServerName":"AuthCenter"}
02-01 10:05:00.040 INFO  --- [main] [ResourceServiceImpl]:109 c.g.c.auth.server.service.impl.ResourceServiceImpl >>> receiveReportData delete:[]
02-01 10:05:00.047 INFO  --- [main] [ResourceServiceImpl]:112 c.g.c.auth.server.service.impl.ResourceServiceImpl >>> receiveReportData update:[]
02-01 10:05:00.048 INFO  --- [main] [ResourceServiceImpl]:114 c.g.c.auth.server.service.impl.ResourceServiceImpl >>> receiveReportData add:[]
02-01 10:05:00.074 INFO  --- [main] [AuthResourceServerAutoConfiguration]:134 c.g.s.config.AuthResourceServerAutoConfiguration >>> reporting resource finish, result:true, cost time:0ms
02-01 10:05:00.351 INFO  --- [SpringContextShutdownHook] [ExecutorConfigurationSupport]:208 o.s.scheduling.concurrent.ThreadPoolTaskScheduler >>> Shutting down ExecutorService 'Nacso-Watch-Task-Scheduler'
02-01 10:05:00.415 INFO  --- [SpringContextShutdownHook] [ExecutorConfigurationSupport]:208 o.s.scheduling.concurrent.ThreadPoolTaskExecutor >>> Shutting down ExecutorService 'applicationTaskExecutor'
02-01 10:05:00.430 INFO  --- [SpringContextShutdownHook] [AbstractEntityManagerFactoryBean]:598 o.s.orm.jpa.LocalContainerEntityManagerFactoryBean >>> Closing JPA EntityManagerFactory for persistence unit 'default'
02-01 10:05:00.432 INFO  --- [SpringContextShutdownHook] [HikariDataSource]:350 com.zaxxer.hikari.HikariDataSource >>> HikariPool-1 - Shutdown initiated...
02-01 10:05:00.445 INFO  --- [SpringContextShutdownHook] [HikariDataSource]:352 com.zaxxer.hikari.HikariDataSource >>> HikariPool-1 - Shutdown completed.
