01-30 21:09:41.835 INFO  --- [main] [AbstractTestContextBootstrapper]:308 o.s.b.t.context.SpringBootTestContextBootstrapper >>> Neither @ContextConfiguration nor @ContextHierarchy found for test class [ResourceDaoImplTest], using SpringBootContextLoader
01-30 21:09:48.438 INFO  --- [main] [Dialect]:172 org.hibernate.dialect.Dialect >>> HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
01-30 21:09:49.484 INFO  --- [main] [JtaPlatformInitiator]:52 o.h.e.t.jta.platform.internal.JtaPlatformInitiator >>> HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
01-30 21:09:49.493 INFO  --- [main] [AbstractEntityManagerFactoryBean]:416 o.s.orm.jpa.LocalContainerEntityManagerFactoryBean >>> Initialized JPA EntityManagerFactory for persistence unit 'default'
01-30 21:09:50.465 INFO  --- [main] [SecurityAutoConfiguration]:46 c.g.security.config.SecurityAutoConfiguration >>> 启用私钥进行签名############
01-30 21:09:51.772 INFO  --- [main] [SecurityAutoConfiguration]:39 c.g.security.config.SecurityAutoConfiguration >>> 启用公钥解密############
01-30 21:09:51.781 INFO  --- [main] [Oauth2Controller]:47 c.g.cloud.auth.server.controller.Oauth2Controller >>> Oauth2Controller init:{authorization_code=com.gapache.cloud.auth.server.security.impl.AuthorizationCodeGenerateTokenLogic@2119b989, client_credentials=com.gapache.cloud.auth.server.security.impl.ClientCredentialsGenerateTokenLogic@73905dff, password=com.gapache.cloud.auth.server.security.impl.PasswordBaseGenerateTokenLogic@5c0d3715, refresh_token=com.gapache.cloud.auth.server.security.impl.RefreshTokenGenerateTokenLogic@5d67bf4d}
01-30 21:09:52.235 INFO  --- [main] [DefaultSecurityFilterChain]:43 o.s.security.web.DefaultSecurityFilterChain >>> Creating filter chain: Ant [pattern='/images/**'], []
01-30 21:09:52.235 INFO  --- [main] [DefaultSecurityFilterChain]:43 o.s.security.web.DefaultSecurityFilterChain >>> Creating filter chain: Ant [pattern='/lib/**'], []
01-30 21:09:52.236 INFO  --- [main] [DefaultSecurityFilterChain]:43 o.s.security.web.DefaultSecurityFilterChain >>> Creating filter chain: Ant [pattern='/css/**'], []
01-30 21:09:52.236 INFO  --- [main] [DefaultSecurityFilterChain]:43 o.s.security.web.DefaultSecurityFilterChain >>> Creating filter chain: Ant [pattern='/fonts/**'], []
01-30 21:09:52.237 INFO  --- [main] [DefaultSecurityFilterChain]:43 o.s.security.web.DefaultSecurityFilterChain >>> Creating filter chain: Ant [pattern='/js/**'], []
01-30 21:09:52.237 INFO  --- [main] [DefaultSecurityFilterChain]:43 o.s.security.web.DefaultSecurityFilterChain >>> Creating filter chain: Ant [pattern='/eleTree.js'], []
01-30 21:09:52.238 INFO  --- [main] [DefaultSecurityFilterChain]:43 o.s.security.web.DefaultSecurityFilterChain >>> Creating filter chain: Ant [pattern='/favicon.ico'], []
01-30 21:09:52.238 INFO  --- [main] [DefaultSecurityFilterChain]:43 o.s.security.web.DefaultSecurityFilterChain >>> Creating filter chain: Ant [pattern='/excel/**'], []
01-30 21:09:52.238 INFO  --- [main] [DefaultSecurityFilterChain]:43 o.s.security.web.DefaultSecurityFilterChain >>> Creating filter chain: Ant [pattern='/layui_exts/**'], []
01-30 21:09:52.238 INFO  --- [main] [DefaultSecurityFilterChain]:43 o.s.security.web.DefaultSecurityFilterChain >>> Creating filter chain: Ant [pattern='/layui/**'], []
01-30 21:09:52.479 INFO  --- [main] [DefaultSecurityFilterChain]:43 o.s.security.web.DefaultSecurityFilterChain >>> Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1f3dafd4, org.springframework.security.web.context.SecurityContextPersistenceFilter@e5f05f8, org.springframework.security.web.header.HeaderWriterFilter@68b3de47, org.springframework.security.web.authentication.logout.LogoutFilter@37a14aa1, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@642d971f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@477906cf, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@238a7e3d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@33622388, org.springframework.security.web.session.SessionManagementFilter@25c06894, org.springframework.security.web.access.ExceptionTranslationFilter@322f84fd, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@8d23cd8]
01-30 21:09:52.792 INFO  --- [main] [URLConfigurationSource]:126 com.netflix.config.sources.URLConfigurationSource >>> URLs to be used as dynamic configuration source: [file:/Users/husen/develop/codes/mine/big-plan/ac/auth-center-server/target/classes/config.properties]
01-30 21:09:52.811 INFO  --- [main] [URLConfigurationSource]:126 com.netflix.config.sources.URLConfigurationSource >>> URLs to be used as dynamic configuration source: [file:/Users/husen/develop/codes/mine/big-plan/ac/auth-center-server/target/classes/config.properties]
01-30 21:09:53.219 INFO  --- [main] [ExecutorConfigurationSupport]:171 o.s.scheduling.concurrent.ThreadPoolTaskExecutor >>> Initializing ExecutorService 'applicationTaskExecutor'
01-30 21:09:53.700 INFO  --- [main] [ExecutorConfigurationSupport]:171 o.s.scheduling.concurrent.ThreadPoolTaskScheduler >>> Initializing ExecutorService 'Nacso-Watch-Task-Scheduler'
01-30 21:09:54.234 INFO  --- [main] [Version]:41 org.redisson.Version >>> Redisson 3.13.4
01-30 21:09:54.657 INFO  --- [redisson-netty-4-13] [ConnectionPool$1]:167 o.r.connection.pool.MasterPubSubConnectionPool >>> 1 connections initialized for /127.0.0.1:6379
01-30 21:09:54.681 INFO  --- [redisson-netty-4-19] [ConnectionPool$1]:167 org.redisson.connection.pool.MasterConnectionPool >>> 24 connections initialized for /127.0.0.1:6379
01-30 21:09:54.723 INFO  --- [main] [RedissonAutoConfiguration]:48 com.gapache.redis.RedissonAutoConfiguration >>> init redissonClient and DistributedLock success
01-30 21:09:54.740 INFO  --- [main] [AuthResourceServerAutoConfiguration$LocalResourceReporterAutoConfiguration]:165 c.g.s.config.AuthResourceServerAutoConfiguration >>> enable register to self[Auth-Center-Server]
01-30 21:09:54.764 INFO  --- [main] [AuthResourceServerAutoConfiguration$RemotePublicKeyLoaderAutoConfiguration]:183 c.g.s.config.AuthResourceServerAutoConfiguration >>> cloudRestTemplate
01-30 21:09:54.808 INFO  --- [main] [AuthResourceServerAutoConfiguration]:61 c.g.s.config.AuthResourceServerAutoConfiguration >>> auto setting AuthResourceServer's config
01-30 21:09:55.874 INFO  --- [main] [EndpointLinksResolver]:58 o.s.b.actuate.endpoint.web.EndpointLinksResolver >>> Exposing 18 endpoint(s) beneath base path '/actuator'
01-30 21:09:56.049 INFO  --- [main] [AuthCenterServer]:96 com.gapache.cloud.auth.server.AuthCenterServer >>> 1.AuthCenter
01-30 21:09:56.453 INFO  --- [main] [AuthCenterServer]:79 com.gapache.cloud.auth.server.AuthCenterServer >>> husen.$2a$10$/yJyotLGlq1uV6IuX/tQeuoOFMkkd9ZsVVbs6hebr7FzQB1RsqXl..我是超级管理员.https://wpimg.wallstcn.com/f778738c-e4f8-4870-b634-56703b4acafe.gif
01-30 21:09:56.477 INFO  --- [main] [StartupInfoLogger]:61 ResourceDaoImplTest >>> Started ResourceDaoImplTest in 14.09 seconds (JVM running for 15.832)
01-30 21:09:56.529 INFO  --- [main] [AuthResourceServerAutoConfiguration]:66 c.g.s.config.AuthResourceServerAutoConfiguration >>> AuthResourceServerAutoConfiguration listening event:org.springframework.boot.context.event.ApplicationReadyEvent[source=org.springframework.boot.SpringApplication@4b55652a]
01-30 21:09:56.564 INFO  --- [main] [AuthResourceServerAutoConfiguration]:92 c.g.s.config.AuthResourceServerAutoConfiguration >>> find need auth component:client, clientController, com.gapache.cloud.auth.server.controller.ClientController@6033f36c
01-30 21:09:56.568 INFO  --- [main] [AuthResourceServerAutoConfiguration]:92 c.g.s.config.AuthResourceServerAutoConfiguration >>> find need auth component:role, roleController, com.gapache.cloud.auth.server.controller.RoleController@6130a6f5
01-30 21:09:56.570 INFO  --- [main] [AuthResourceServerAutoConfiguration]:92 c.g.s.config.AuthResourceServerAutoConfiguration >>> find need auth component:user, userController, com.gapache.cloud.auth.server.controller.UserController@2ad6aeb8
01-30 21:09:56.571 INFO  --- [main] [AuthResourceServerAutoConfiguration]:125 c.g.s.config.AuthResourceServerAutoConfiguration >>> $$------AuthResource------AuthResourceDTO(id=null, scope=role:page, name=分页查询角色)
01-30 21:09:56.572 INFO  --- [main] [AuthResourceServerAutoConfiguration]:125 c.g.s.config.AuthResourceServerAutoConfiguration >>> $$------AuthResource------AuthResourceDTO(id=null, scope=role:update, name=更新角色)
01-30 21:09:56.572 INFO  --- [main] [AuthResourceServerAutoConfiguration]:125 c.g.s.config.AuthResourceServerAutoConfiguration >>> $$------AuthResource------AuthResourceDTO(id=null, scope=role:delete, name=删除角色)
01-30 21:09:56.572 INFO  --- [main] [AuthResourceServerAutoConfiguration]:125 c.g.s.config.AuthResourceServerAutoConfiguration >>> $$------AuthResource------AuthResourceDTO(id=null, scope=role:create, name=创建角色)
01-30 21:09:56.573 INFO  --- [main] [AuthResourceServerAutoConfiguration]:125 c.g.s.config.AuthResourceServerAutoConfiguration >>> $$------AuthResource------AuthResourceDTO(id=null, scope=client:findByClientId, name=根据clientId查询client)
01-30 21:09:56.573 INFO  --- [main] [AuthResourceServerAutoConfiguration]:125 c.g.s.config.AuthResourceServerAutoConfiguration >>> $$------AuthResource------AuthResourceDTO(id=null, scope=client:create, name=创建客户端)
01-30 21:09:56.573 INFO  --- [main] [AuthResourceServerAutoConfiguration]:125 c.g.s.config.AuthResourceServerAutoConfiguration >>> $$------AuthResource------AuthResourceDTO(id=null, scope=client:bindUser, name=绑定用户到客户端)
01-30 21:09:56.574 INFO  --- [main] [AuthResourceServerAutoConfiguration]:125 c.g.s.config.AuthResourceServerAutoConfiguration >>> $$------AuthResource------AuthResourceDTO(id=null, scope=user:create, name=创建用户)
01-30 21:09:56.574 INFO  --- [main] [AuthResourceServerAutoConfiguration]:125 c.g.s.config.AuthResourceServerAutoConfiguration >>> $$------AuthResource------AuthResourceDTO(id=null, scope=user:setUserRole, name=设置用户角色)
01-30 21:09:56.730 INFO  --- [main] [ResourceServiceImpl]:52 c.g.c.auth.server.service.impl.ResourceServiceImpl >>> receiveReportData:{"authResources":[{"name":"分页查询角色","scope":"role:page"},{"name":"更新角色","scope":"role:update"},{"name":"删除角色","scope":"role:delete"},{"name":"创建角色","scope":"role:create"},{"name":"根据clientId查询client","scope":"client:findByClientId"},{"name":"创建客户端","scope":"client:create"},{"name":"绑定用户到客户端","scope":"client:bindUser"},{"name":"创建用户","scope":"user:create"},{"name":"设置用户角色","scope":"user:setUserRole"}],"clientId":"husen19950528201314lq19980824","resourceServerName":"AuthCenter"}
01-30 21:09:56.847 INFO  --- [main] [ResourceServiceImpl]:109 c.g.c.auth.server.service.impl.ResourceServiceImpl >>> receiveReportData delete:[]
01-30 21:09:56.852 INFO  --- [main] [ResourceServiceImpl]:112 c.g.c.auth.server.service.impl.ResourceServiceImpl >>> receiveReportData update:[]
01-30 21:09:56.854 INFO  --- [main] [ResourceServiceImpl]:114 c.g.c.auth.server.service.impl.ResourceServiceImpl >>> receiveReportData add:[]
01-30 21:09:56.881 INFO  --- [main] [AuthResourceServerAutoConfiguration]:134 c.g.s.config.AuthResourceServerAutoConfiguration >>> reporting resource finish, result:true, cost time:0ms
01-30 21:09:57.102 WARN  --- [main] [SqlExceptionHelper]:137 org.hibernate.engine.jdbc.spi.SqlExceptionHelper >>> SQL Error: 1064, SQLState: 42000
01-30 21:09:57.136 INFO  --- [SpringContextShutdownHook] [ExecutorConfigurationSupport]:208 o.s.scheduling.concurrent.ThreadPoolTaskScheduler >>> Shutting down ExecutorService 'Nacso-Watch-Task-Scheduler'
01-30 21:09:57.225 INFO  --- [SpringContextShutdownHook] [ExecutorConfigurationSupport]:208 o.s.scheduling.concurrent.ThreadPoolTaskExecutor >>> Shutting down ExecutorService 'applicationTaskExecutor'
01-30 21:09:57.242 INFO  --- [SpringContextShutdownHook] [AbstractEntityManagerFactoryBean]:598 o.s.orm.jpa.LocalContainerEntityManagerFactoryBean >>> Closing JPA EntityManagerFactory for persistence unit 'default'
01-30 21:09:57.244 INFO  --- [SpringContextShutdownHook] [HikariDataSource]:350 com.zaxxer.hikari.HikariDataSource >>> HikariPool-1 - Shutdown initiated...
01-30 21:09:57.258 INFO  --- [SpringContextShutdownHook] [HikariDataSource]:352 com.zaxxer.hikari.HikariDataSource >>> HikariPool-1 - Shutdown completed.
01-30 21:10:31.087 INFO  --- [main] [AbstractTestContextBootstrapper]:308 o.s.b.t.context.SpringBootTestContextBootstrapper >>> Neither @ContextConfiguration nor @ContextHierarchy found for test class [ResourceDaoImplTest], using SpringBootContextLoader
01-30 21:10:31.110 INFO  --- [main] [AbstractContextLoader]:264 o.s.test.context.support.AbstractContextLoader >>> Could not detect default resource locations for test class [ResourceDaoImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
01-30 21:10:31.504 INFO  --- [main] [AbstractTestContextBootstrapper]:248 o.s.b.t.context.SpringBootTestContextBootstrapper >>> Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
01-30 21:10:31.542 INFO  --- [main] [AbstractTestContextBootstrapper]:177 o.s.b.t.context.SpringBootTestContextBootstrapper >>> Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6fd83fc1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4f2b503c, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@bae7dc0, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@209da20d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@e15b7e8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1b2abca6, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6392827e, org.springframework.test.context.event.EventPublishingTestExecutionListener@2ed2d9cb, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@d5b810e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@43dac38f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@342c38f8, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@c88a337, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5d0a1059]
01-30 21:10:32.635 INFO  --- [main] [SpringApplication]:651 ResourceDaoImplTest >>> No active profile set, falling back to default profiles: default
01-30 21:10:33.739 WARN  --- [main] [EndpointId]:155 o.springframework.boot.actuate.endpoint.EndpointId >>> Endpoint ID 'nacos-discovery' contains invalid characters, please migrate to a valid format.
01-30 21:10:34.115 INFO  --- [main] [RepositoryConfigurationDelegate]:249 o.s.d.r.config.RepositoryConfigurationDelegate >>> Multiple Spring Data modules found, entering strict repository configuration mode!
01-30 21:10:34.118 INFO  --- [main] [RepositoryConfigurationDelegate]:127 o.s.d.r.config.RepositoryConfigurationDelegate >>> Bootstrapping Spring Data JPA repositories in DEFAULT mode.
01-30 21:10:34.558 INFO  --- [main] [RepositoryConfigurationDelegate]:187 o.s.d.r.config.RepositoryConfigurationDelegate >>> Finished Spring Data repository scanning in 429ms. Found 9 JPA repository interfaces.
01-30 21:10:34.578 INFO  --- [main] [RepositoryConfigurationDelegate]:249 o.s.d.r.config.RepositoryConfigurationDelegate >>> Multiple Spring Data modules found, entering strict repository configuration mode!
01-30 21:10:34.580 INFO  --- [main] [RepositoryConfigurationDelegate]:127 o.s.d.r.config.RepositoryConfigurationDelegate >>> Bootstrapping Spring Data Redis repositories in DEFAULT mode.
01-30 21:10:34.604 INFO  --- [main] [RepositoryConfigurationExtensionSupport]:348 o.s.d.r.c.RepositoryConfigurationExtensionSupport >>> Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.gapache.cloud.auth.server.dao.repository.client.ClientRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
01-30 21:10:34.605 INFO  --- [main] [RepositoryConfigurationExtensionSupport]:348 o.s.d.r.c.RepositoryConfigurationExtensionSupport >>> Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.gapache.cloud.auth.server.dao.repository.resource.ResourceRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
01-30 21:10:34.606 INFO  --- [main] [RepositoryConfigurationExtensionSupport]:348 o.s.d.r.c.RepositoryConfigurationExtensionSupport >>> Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.gapache.cloud.auth.server.dao.repository.resource.ResourceServerRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
